00A9,E731
FE02A,E6BA
FE02B,E646
FE02C,E647
FE02D,E648
FE02E,E649
FE02F,E64A
FE030,E64B
FE031,E64C
FE032,E64D
FE033,E64E
FE034,E64F
FE035,E650
FE036,E651
FE037,[蛇使座]
FE038,E73F
FE039,[地球]
FE03A,[火山]
FE03B,E6B3
FE03C,E741
FE03D,E743
FE03E,E746
FE03F,E747
FE040,E748
FE041,[バラ]
FE042,E747
FE043,[風に舞う葉]
FE044,[若葉マーク]
FE045,[ハイビスカス]
FE046,[ひまわり]
FE047,[ヤシ]
FE048,[サボテン]
FE049,[稲穂]
FE04A,[とうもろこし]
FE04B,[キノコ]
FE04C,[栗]
FE04D,[花]
FE04E,E741
FE04F,E742
FE050,E744
FE051,E745
FE052,[みかん]
FE053,[イチゴ]
FE054,[スイカ]
FE055,[トマト]
FE056,[ナス]
FE057,[メロン]
FE058,[パイナップル]
FE059,[ブドウ]
FE05A,[モモ]
FE05B,E745
FE190,E691
FE191,E692
FE192,[鼻]
FE193,E6F9
FE194,E728
FE195,E710
FE196,[マニキュア]
FE197,[エステ]
FE198,E675
FE199,[床屋]
FE19A,E6B1
FE19B,E6F0
FE19C,E6F0
FE19D,E6F0
FE19E,E6F0
FE19F,[家族]
FE1A0,[カップル]
FE1A1,[警官]
FE1A2,[バニー]
FE1A3,[花嫁]
FE1A4,[白人]
FE1A5,[中国人]
FE1A6,[インド人]
FE1A7,[おじいさん]
FE1A8,[おばあさん]
FE1A9,[赤ちゃん]
FE1AA,[工事現場の人]
FE1AB,[お姫様]
FE1AC,[なまはげ]
FE1AD,[天狗]
FE1AE,[お化け]
FE1AF,[天使]
FE1B0,[UFO]
FE1B1,[宇宙人]
FE1B2,[アクマ]
FE1B3,[ドクロ]
FE1B4,[案内]
FE1B5,[衛兵]
FE1B6,[ダンス]
FE1B7,E6A1
FE1B8,E6A2
FE1B9,E74E
FE1BA,E74F
FE1BB,E74F
FE1BC,E750
FE1BD,E751
FE1BE,E754
FE1BF,E755
FE1C0,[トラ]
FE1C1,[クマ]
FE1C2,[ネズミ]
FE1C3,[クジラ]
FE1C4,[サル]
FE1C5,[タコ]
FE1C6,[巻貝]
FE1C7,[イルカ]
FE1C8,E74F
FE1C9,E751
FE1CA,[ハムスター]
FE1CB,[ゲジゲジ]
FE1CC,[ゾウ]
FE1CD,[コアラ]
FE1CE,[サル]
FE1CF,[ヒツジ]
FE1D0,E6A1
FE1D1,[牛]
FE1D2,[ウサギ]
FE1D3,[ヘビ]
FE1D4,[ニワトリ]
FE1D5,[イノシシ]
FE1D6,[ラクダ]
FE1D7,[カエル]
FE1D8,E6A1
FE1D9,E751
FE1DA,[アリ]
FE1DB,E698
FE1DC,[カメ]
FE1DD,E74F
FE1DE,[辰]
FE1DF,[パンダ]
FE1E0,E755
FE1E1,[ミツバチ]
FE1E2,[てんとう虫]
FE1E3,[カニ]
FE320,E6F1
FE321,E6F3
FE322,E6F4
FE323,E6F2
FE324,E6F4
FE325,E723
FE326,E725
FE327,E726
FE328,E753
FE329,E728
FE32A,E728
FE32B,E752
FE32C,E726
FE32D,E726
FE32E,[風邪ひき]
FE32F,E72A
FE330,E6F0
FE331,E722
FE332,E72A
FE333,E753
FE334,E72A
FE335,E6F0
FE336,E6F0
FE337,E6F0
FE338,E6F0
FE339,E72E
FE33A,E72D
FE33B,E757
FE33C,E72B
FE33D,E724
FE33E,E721
FE33F,E6F3
FE340,E720
FE341,E757
FE342,E701
FE343,E72C
FE344,E723
FE345,E723
FE346,E72B
FE347,E729
FE348,E6F0
FE349,E753
FE34A,E72A
FE34B,E726
FE34C,E726
FE34D,E72E
FE34E,E724
FE34F,E753
FE350,E6F3
FE351,E72F
FE352,E70B
FE353,m(_ _)m
FE354,(/_＼)
FE355,(・×・)
FE356,|(・×・)|
FE357,(^-^)/
FE358,＼(^o^)／
FE359,E6F3
FE35A,E6F1
FE35B,(>人<)
FE35C,B-)
FE35D,＼(^-^)／
FE35E,8-|
FE35F,[考え中]
FE360,[やったー]
FE361,[クラクラ]
FE362,[ムムム]
FE363,[エッ?]
FE364,[逆立ち]
FE365,[怪我をした顔]
FE366,[心配した顔]
FE367,[同情した顔]
FE368,[細い顔]
FE369,[ロボット]
FE4B0,E663
FE4B1,E663
FE4B2,E664
FE4B3,E665
FE4B4,E666
FE4B5,E667
FE4B6,E668
FE4B7,E669
FE4B9,E66A
FE4BA,E73E
FE4BB,[教会]
FE4BC,[噴水]
FE4BD,[デパート]
FE4BE,[城]
FE4BF,[城]
FE4C0,[工場]
FE4C1,E661
FE4C2,E74B
FE4C3,E740
FE4C4,[東京タワー]
FE4C6,[自由の女神]
FE4C7,[日本地図]
FE4C8,[モアイ]
FE4C9,E718
FE4CA,[ハンマー]
FE4CB,[ネジ]
FE4CC,E699
FE4CD,E699
FE4CE,E69A
FE4CF,E70E
FE4D0,E711
FE4D1,E71A
FE4D2,E71A
FE4D3,[ネクタイ]
FE4D4,[帽子]
FE4D5,[ドレス]
FE4D6,E674
FE4D7,E674
FE4D8,[ブーツ]
FE4D9,[着物]
FE4DA,[ビキニ]
FE4DB,E70E
FE4DC,E70F
FE4DD,E715
FE4DE,[$￥]
FE4DF,[株価]
FE4E0,E715
FE4E1,[カード]
FE4E2,E6D6
FE4E3,E715
FE4E4,[飛んでいくお金]
FE4E5,[日の丸]
FE4E6,[USA]
FE4E7,[フランス]
FE4E8,[ドイツ]
FE4E9,[イタリア]
FE4EA,[イギリス]
FE4EB,[スペイン]
FE4EC,[ロシア]
FE4ED,[中国]
FE4EE,[韓国]
FE4EF,E681
FE4F0,E682
FE4F1,E6AD
FE4F2,E713
FE4F3,E714
FE4F4,[ウンチ]
FE4F5,[ピストル]
FE4F6,[炎]
FE4F7,[占い]
FE4F8,[占い]
FE4F9,E677
FE4FA,[包丁]
FE4FB,E6FB
FE4FC,[電池]
FE4FD,E70A
FE4FE,[コンセント]
FE4FF,E683
FE500,E683
FE501,E683
FE502,E683
FE503,E683
FE504,[名札]
FE505,E6F7
FE506,E66E
FE507,E66E
FE508,E66E
FE509,[注射]
FE50A,[薬]
FE50B,[A]
FE50C,[B]
FE50D,[AB]
FE50E,[O]
FE50F,E684
FE510,E685
FE511,E686
FE512,E6A4
FE513,[サンタ]
FE514,[祝日]
FE515,[花火]
FE516,[風船]
FE517,[クラッカー]
FE518,[門松]
FE519,[ひな祭り]
FE51A,[卒業式]
FE51B,[ランドセル]
FE51C,[こいのぼり]
FE51D,[線香花火]
FE51E,[風鈴]
FE51F,[ハロウィン]
FE520,[オメデトウ]
FE521,[七夕]
FE522,E65A
FE523,E687
FE524,E687
FE525,E688
FE526,E6CE
FE527,E689
FE528,E6D0
FE529,E6D3
FE52A,E6CF
FE52B,E6CF
FE52C,E665
FE52D,E665
FE52E,E665
FE52F,[スピーカ]
FE530,[メガホン]
FE531,[アンテナ]
FE532,[フキダシ]
FE533,[送信BOX]
FE534,[受信BOX]
FE535,E685
FE536,E6AE
FE537,E6B2
FE538,E716
FE539,E719
FE53A,E730
FE53B,E682
FE53C,[MD]
FE53D,[フロッピー]
FE53E,E675
FE53F,[画びょう]
FE540,E689
FE541,E689
FE542,[カレンダー]
FE543,[フォルダ]
FE544,[フォルダ]
FE545,E683
FE546,E683
FE547,E683
FE548,E689
FE549,[カレンダー]
FE54A,[グラフ]
FE54B,[グラフ]
FE54C,[グラフ]
FE54D,E683
FE54E,[画びょう]
FE54F,E683
FE550,[定規]
FE551,[三角定規]
FE552,E689
FE553,E698
FE7D0,E652
FE7D1,E653
FE7D2,E654
FE7D3,E655
FE7D4,E656
FE7D5,E657
FE7D6,E658
FE7D7,E659
FE7D8,E712
FE7D9,E733
FE7DA,E712
FE7DB,[トロフィー]
FE7DC,E754
FE7DD,[フットボール]
FE7DE,[水泳]
FE7DF,E65B
FE7E0,E65C
FE7E1,E65C
FE7E2,E65D
FE7E3,E65D
FE7E4,E65E
FE7E5,E65F
FE7E6,E660
FE7E7,[バス停]
FE7E8,E661
FE7E9,E662
FE7EA,E6A3
FE7EB,E71D
FE7EC,[駅]
FE7ED,[ロケット]
FE7EE,E6A3
FE7EF,E65E
FE7F0,E733
FE7F1,[トラック]
FE7F2,[消防車]
FE7F3,[救急車]
FE7F4,[パトカー]
FE7F5,E66B
FE7F6,E66C
FE7F7,E66D
FE7F8,[工事中]
FE7F9,[パトカー]
FE7FA,E6F7
FE7FB,[キャンプ]
FE7FC,E679
FE7FD,[観覧車]
FE7FE,[ジェットコースター]
FE7FF,E751
FE800,E676
FE801,E677
FE802,E677
FE803,E67A
FE804,E67B
FE805,E67C
FE806,E67D
FE807,E67E
FE808,E6AC
FE809,[演劇]
FE80A,E68B
FE80B,[麻雀]
FE80C,[的中]
FE80D,[777]
FE80E,[ビリヤード]
FE80F,[サイコロ]
FE810,[ボーリング]
FE811,[花札]
FE812,[ジョーカー]
FE813,E6F6
FE814,E6FF
FE815,[サックス]
FE816,[ギター]
FE817,[ピアノ]
FE818,[トランペット]
FE819,[バイオリン]
FE81A,E6FF
FE81B,[歌記号]
FE81C,E68A
FE81D,E68C
FE81E,E68C
FE81F,[ラジオ]
FE820,[ビデオ]
FE821,[スピーカ]
FE822,[新聞]
FE823,E6F9
FE824,E717
FE825,E71B
FE826,E71B
FE827,E6F9
FE828,[花束]
FE829,E6ED
FE82A,[結婚式]
FE82B,E6DF
FE82C,E6E0
FE82D,E6E1
FE82E,E6E2
FE82F,E6E3
FE830,E6E4
FE831,E6E5
FE832,E6E6
FE833,E6E7
FE834,E6E8
FE835,E6E9
FE836,E6EA
FE837,E6EB
FE838,[バリ3]
FE839,[マナーモード]
FE83A,[ケータイOFF]
FE83B,[10]
FE83C,[PDC]
FE960,E673
FE961,E749
FE962,E74A
FE963,E74C
FE964,E74D
FE965,[フライパン]
FE966,[ソフトクリーム]
FE967,[ポテト]
FE968,[だんご]
FE969,[せんべい]
FE96A,E74C
FE96B,[パスタ]
FE96C,[カレー]
FE96D,[おでん]
FE96E,[すし]
FE96F,[弁当]
FE970,[鍋]
FE971,[カキ氷]
FE972,[肉]
FE973,E643
FE974,[やきいも]
FE975,[ピザ]
FE976,[チキン]
FE977,[アイスクリーム]
FE978,[ドーナツ]
FE979,[クッキー]
FE97A,[チョコ]
FE97B,[キャンディ]
FE97C,[キャンディ]
FE97D,[プリン]
FE97E,[ハチミツ]
FE97F,[エビフライ]
FE980,E66F
FE981,E670
FE982,E671
FE983,E672
FE984,E71E
FE985,E74B
FE986,E756
FE987,E672
FE988,E671
FEAF0,E678
FEAF1,E696
FEAF2,E697
FEAF3,E6A5
FEAF4,E6F5
FEAF5,E700
FEAF6,E73C
FEAF7,E73D
FEAF8,[↑]
FEAF9,[↓]
FEAFA,[→]
FEAFB,[←]
FEAFC,[>]
FEAFD,[<]
FEAFE,[>>]
FEAFF,[<<]
FEB00,▼
FEB01,▲
FEB02,▼
FEB03,▲
FEB04,E702
FEB05,E703
FEB06,E704
FEB07,E709
FEB08,E70A
FEB09,[？]
FEB0A,[？]
FEB0B,E702
FEB0C,E6EC
FEB0D,E6ED
FEB0E,E6EE
FEB0F,E6EF
FEB10,E6EC
FEB11,E6ED
FEB12,E6EC
FEB13,E6EC
FEB14,E6EC
FEB15,E6EC
FEB16,E6EC
FEB17,E6EC
FEB18,E6ED
FEB19,E6F8
FEB1A,E68D
FEB1B,E68E
FEB1C,E68F
FEB1D,E690
FEB1E,E67F
FEB1F,E680
FEB20,E69B
FEB21,E6D7
FEB22,E6DE
FEB23,E737
FEB24,[ココ]
FEB25,[18禁]
FEB26,E72F
FEB27,E70B
FEB28,E72F
FEB29,E731
FEB2A,E732
FEB2B,E734
FEB2C,E735
FEB2D,E736
FEB2E,E738
FEB2F,E739
FEB30,E73A
FEB31,E73B
FEB32,[VS]
FEB33,[♂]
FEB34,[♀]
FEB35,[赤ちゃん]
FEB36,E6DD
FEB37,[UP!]
FEB38,[COOL]
FEB39,[有]
FEB3A,[無]
FEB3B,[月]
FEB3C,[申]
FEB3D,[得]
FEB3E,[割]
FEB3F,[サービス]
FEB40,[指]
FEB41,[営]
FEB42,[TOP]
FEB43,[祝]
FEB44,E6A0
FEB45,[×]
FEB46,[×]
FEB47,[ｉ]
FEB48,E738
FEB49,[チェックマーク]
FEB4A,[チェックマーク]
FEB4B,[リンク]
FEB4F,[SOS]
FEB50,[可]
FEB51,[＋]
FEB52,[－]
FEB53,[×]
FEB54,[÷]
FEB55,E6F8
FEB56,E6FB
FEB57,E6FC
FEB58,E6FE
FEB59,E701
FEB5A,E705
FEB5B,E706
FEB5C,E707
FEB5D,E708
FEB5E,[力こぶ]
FEB5F,[クラクラ]
FEB60,E6FA
FEB61,E6F8
FEB62,E6F8
FEB63,E69C
FEB64,E69C
FEB65,E69C
FEB66,E69C
FEB67,E69C
FEB68,[☆]
FEB69,[☆]
FEB6A,☆彡
FEB6B,■
FEB6C,■
FEB6D,■
FEB6E,■
FEB6F,■
FEB70,■
FEB71,■
FEB72,■
FEB73,◆
FEB74,◆
FEB75,◆
FEB76,◆
FEB77,E6FA
FEB78,▲
FEB79,▼
FEB7A,[花丸]
FEB7B,[100点]
FEB7C,[ABCD]
FEB7D,[abcd]
FEB7E,[1234]
FEB7F,[記号]
FEB80,[ABC]
FEB81,E6D8
FEB82,E6D9
FEB83,E6DA
FEB84,E6DB
FEB85,E6DC
FEB86,E6D9
FEB87,E6D9
FEB88,└→
FEB89,[オープンウェブ]
FEB8A,E6D9
FEB8B,[チェックマーク]
FEB8C,[ラジオボタン]
FEB8D,E6DC
FEB8E,[←BACK]
FEB8F,[ブックマーク]
FEB90,E6D9
FEB91,E735
FEB92,E6D3
FEB93,E693
FEB94,E694
FEB95,E695
FEB96,E6FD
FEB97,E727
FEB98,[人差し指]
FEB99,[↑]
FEB9A,[↓]
FEB9B,[←]
FEB9C,[→]
FEB9D,E695
FEB9E,[拍手]
FEB9F,E70B
FEBA0,E700
FEBA1,E695
FEBA2,[ロックオン]
FEE10,E6D1
FEE11,E6D2
FEE12,E6D4
FEE13,E6D5
FEE14,E70C
FEE15,E70D
FEE16,E6A6
FEE17,E6A7
FEE18,E6A8
FEE19,E6A9
FEE1A,E6AA
FEE1B,E6AB
FEE1C,E6AF
FEE1D,E6B0
FEE1E,E6B4
FEE1F,E6B5
FEE20,E6B6
FEE21,E6BB
FEE22,E6BC
FEE23,E6BD
FEE24,E6BE
FEE25,E6BF
FEE26,E6C0
FEE27,E6C1
FEE28,E6C2
FEE29,E6C3
FEE2A,E6C4
FEE2B,E6C5
FEE2C,E6C6
FEE2D,E6C7
FEE2E,E6C8
FEE2F,E6C9
FEE30,E6CA
FEE31,E6CB
FEE32,E6CC
FEE33,E6CD
FEE40,[EZ]
FEE41,[ezplus]
FEE42,[EZナビ]
FEE43,[EZムービー]
FEE44,[Cメール]
FEE45,[Java]
FEE46,[BREW]
FEE47,[EZ着うた]
FEE48,[EZナビ]
FEE49,[WIN]
FEE4A,[プレミアム]
FEE74,[v
FEE75,oda
FEE76,fone]
FEEA0,[Google]
